dim,method,error_test_mean,error_test_sigma,error_train_mean,error_train_sigma,kendall_mean,kendall_sigma,time
5,Forests,50.8627,2.1507,6.9461,0.01844,0.70748,0.0040185,693.339
5,"GP (RQiso)",28.7153,1.6797,2.1813,0.15052,0.7943,0.0060474,10149.1
5,"GP (SEard)",34.9663,1.7372,19.1457,0.22358,0.73438,0.0056034,10173.2
5,"GP (SEiso)",34.8501,1.7131,19.3253,0.22569,0.73557,0.0050798,11458.4
5,Polynomial,133.854,5.6062,132.728,0.61898,0.41416,0.009342,2.7679
5,RBF-NN,38.2109,1.7079,20.2061,0.16034,0.70121,0.0054912,4202.48
10,Forests,9.4147,1.0528,2.1826,0.032377,0.5286,0.0080142,287.991
10,"GP (RQiso)",6.7404,0.94622,0.010998,0.0044984,0.634,0.005044,10119.6
10,"GP (SEiso)",8.2017,0.99562,6.5513,0.13147,0.58745,0.0033469,7429.59
10,Polynomial,10.7449,1.0823,10.4452,0.11888,0.50867,0.0085439,4.9904
10,RBF-NN,8.5572,0.94915,5.2626,0.070053,0.51969,0.0034638,2268.92
20,Forests,0.70852,0.047431,0.39397,0.0034908,0.45464,0.0038603,203.738
20,"GP (RQiso)",0.46266,0.041934,0.0000014727,0.00000005236,0.65168,0.0060389,9890.04
20,"GP (SEiso)",7384.92,1.6755,0.0000000000013539,5.5802e-17,-0.20632,0.0074075,5610.01
20,Polynomial,0.62482,0.043635,0.56921,0.0047451,0.60304,0.0059835,17.9531
20,RBF-NN,0.57532,0.046054,0.47598,0.0080611,0.59387,0.0040016,24279.3
40,Forests,0.04566,0.0040759,0.031109,0.00030131,0.34519,0.0070398,59.5865
40,"GP (RQiso)",0.03027,0.002657,0.0000669,0.000065514,0.60168,0.0049735,11107.5
40,"GP (SEiso)",7462.29,0.58923,0.000000001113,0.0000000000023942,-0.21856,0.0090304,55214.2
40,Polynomial,0.035955,0.0026689,0.024341,0.00025161,0.55372,0.0056698,144.056
40,RBF-NN,0.036777,0.0029938,0.032035,0.00042454,0.52004,0.0034812,1663.1
