method,dataset,error_train_mean,error_train_sigma,error_test_mean,error_test_sigma,kendall_mean,kendall_sigma,time
Forests,f15,835.914,1.4993,5137.05,71.5558,0.49159,0.0072963,670.642
RBF-NN,f15,2631.37,7.0787,2748.33,56.403,0.62842,0.0035999,236.287
Forests,f16,61.6607,0.15614,231.326,5.6747,0.28836,0.011823,218.265
RBF-NN,f16,248.314,0.62511,250.58,5.4756,0.071477,0.0072295,190.4
Forests,f17,0.46934,0.0013916,3.4308,0.067675,0.21738,0.0082566,400.349
RBF-NN,f17,3.2344,0.0069884,3.3887,0.043519,0.2117,0.0081542,198.621
Forests,f18,10.641,0.027708,63.9142,1.5322,0.21162,0.0061202,406.768
RBF-NN,f18,61.8307,0.18211,64.7696,1.9448,0.21167,0.0080642,202.037
Forests,f19,91932.4,300.492,112508,3428.01,0.032612,0.0075413,233.925
RBF-NN,f19,102002,353.29,113347,3178.7,-0.0011687,0.005978,169.975
Forests,f20,0.0017898,0.0000027082,0.0068551,0.00014518,0.59881,0.0023154,411.925
RBF-NN,f20,0.0096533,0.000042746,0.0087571,0.00020309,0.49651,0.0078473,381.327
Forests,f21,0.1667,0.0022743,0.24819,0.028539,0.29309,0.0082685,60.8708
RBF-NN,f21,0.22518,0.0027924,0.22153,0.027782,0.43048,0.010924,350.67
Forests,f22,0.031109,0.00030131,0.04566,0.0040759,0.34519,0.0070398,59.5865
RBF-NN,f22,0.042953,0.00043075,0.042662,0.003993,0.43239,0.008438,398.918
Forests,f23,6.3548,0.013863,14.8854,0.29143,0.062323,0.0077565,387.371
RBF-NN,f23,13.0661,0.044622,14.5749,0.44729,0.009491,0.0088945,177.995
Forests,f24,7430.14,18.451,28552.3,612.513,0.5129,0.0068945,212.363
RBF-NN,f24,5016.51,28.1423,6467.31,108.925,0.74189,0.0040649,1215.46
